bestEpoch=34	 MRR = 0.3409	 Hit@5=0.4433	 NDCG@5=0.3448	 dataset=./DataProcess/Tmall/天猫点击sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=36	 MRR = 0.343	 Hit@5=0.4406	 NDCG@5=0.3457	 dataset=./DataProcess/Tmall/天猫点击sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=38	 MRR = 0.3479	 Hit@5=0.4431	 NDCG@5=0.3499	 dataset=./DataProcess/Tmall/天猫点击sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=40	 MRR = 0.3546	 Hit@5=0.442	 NDCG@5=0.3544	 dataset=./DataProcess/Tmall/天猫点击sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=44	 MRR = 0.3647	 Hit@5=0.4397	 NDCG@5=0.3612	 dataset=./DataProcess/Tmall/天猫点击sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=50	 MRR = 0.3746	 Hit@5=0.4415	 NDCG@5=0.3695	 dataset=./DataProcess/Tmall/天猫点击sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=52	 MRR = 0.385	 Hit@5=0.4429	 NDCG@5=0.3779	 dataset=./DataProcess/Tmall/天猫点击sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=54	 MRR = 0.3878	 Hit@5=0.4397	 NDCG@5=0.379	 dataset=./DataProcess/Tmall/天猫点击sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=56	 MRR = 0.3929	 Hit@5=0.4413	 NDCG@5=0.3833	 dataset=./DataProcess/Tmall/天猫点击sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=60	 MRR = 0.3982	 Hit@5=0.4401	 NDCG@5=0.387	 dataset=./DataProcess/Tmall/天猫点击sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=64	 MRR = 0.4021	 Hit@5=0.4433	 NDCG@5=0.3909	 dataset=./DataProcess/Tmall/天猫点击sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=66	 MRR = 0.4149	 Hit@5=0.4479	 NDCG@5=0.4019	 dataset=./DataProcess/Tmall/天猫点击sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=72	 MRR = 0.4262	 Hit@5=0.4503	 NDCG@5=0.4113	 dataset=./DataProcess/Tmall/天猫点击sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=86	 MRR = 0.4334	 Hit@5=0.4538	 NDCG@5=0.4181	 dataset=./DataProcess/Tmall/天猫点击sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=88	 MRR = 0.4381	 Hit@5=0.4551	 NDCG@5=0.4219	 dataset=./DataProcess/Tmall/天猫点击sequenceTest.csv	 model=SASRec	 downEpoch=0
